PSTAR: Stopping Powers and Range Tables for Protons

ALUMINUM                                                                

Kinetic   Projected 
Energy    Range     
MeV       g/cm2     

1.000E-03 3.758E-06 
1.500E-03 5.590E-06 
2.000E-03 7.413E-06 
2.500E-03 9.205E-06 
3.000E-03 1.096E-05 
4.000E-03 1.438E-05 
5.000E-03 1.765E-05 
6.000E-03 2.080E-05 
7.000E-03 2.384E-05 
8.000E-03 2.677E-05 
9.000E-03 2.961E-05 
1.000E-02 3.236E-05 
1.250E-02 3.895E-05 
1.500E-02 4.523E-05 
1.750E-02 5.127E-05 
2.000E-02 5.711E-05 
2.250E-02 6.277E-05 
2.500E-02 6.829E-05 
2.750E-02 7.370E-05 
3.000E-02 7.902E-05 
3.500E-02 8.943E-05 
4.000E-02 9.964E-05 
4.500E-02 1.097E-04 
5.000E-02 1.198E-04 
5.500E-02 1.298E-04 
6.000E-02 1.398E-04 
6.500E-02 1.499E-04 
7.000E-02 1.601E-04 
7.500E-02 1.703E-04 
8.000E-02 1.807E-04 
8.500E-02 1.911E-04 
9.000E-02 2.017E-04 
9.500E-02 2.124E-04 
1.000E-01 2.232E-04 
1.250E-01 2.791E-04 
1.500E-01 3.381E-04 
1.750E-01 4.001E-04 
2.000E-01 4.649E-04 
2.250E-01 5.325E-04 
2.500E-01 6.028E-04 
2.750E-01 6.757E-04 
3.000E-01 7.511E-04 
3.500E-01 9.097E-04 
4.000E-01 1.079E-03 
4.500E-01 1.258E-03 
5.000E-01 1.447E-03 
5.500E-01 1.646E-03 
6.000E-01 1.855E-03 
6.500E-01 2.074E-03 
7.000E-01 2.303E-03 
7.500E-01 2.541E-03 
8.000E-01 2.788E-03 
8.500E-01 3.045E-03 
9.000E-01 3.311E-03 
9.500E-01 3.586E-03 
1.000E+00 3.870E-03 
1.250E+00 5.424E-03 
1.500E+00 7.191E-03 
1.750E+00 9.164E-03 
2.000E+00 1.134E-02 
2.250E+00 1.370E-02 
2.500E+00 1.626E-02 
2.750E+00 1.900E-02 
3.000E+00 2.193E-02 
3.500E+00 2.832E-02 
4.000E+00 3.540E-02 
4.500E+00 4.315E-02 
5.000E+00 5.157E-02 
5.500E+00 6.063E-02 
6.000E+00 7.033E-02 
6.500E+00 8.065E-02 
7.000E+00 9.158E-02 
7.500E+00 1.031E-01 
8.000E+00 1.153E-01 
8.500E+00 1.280E-01 
9.000E+00 1.413E-01 
9.500E+00 1.552E-01 
1.000E+01 1.697E-01 
1.250E+01 2.504E-01 
1.500E+01 3.448E-01 
1.750E+01 4.523E-01 
2.000E+01 5.726E-01 
2.500E+01 8.501E-01 
2.750E+01 1.007E+00 
3.000E+01 1.175E+00 
3.500E+01 1.546E+00 
4.000E+01 1.961E+00 
4.500E+01 2.419E+00 
5.000E+01 2.918E+00 
5.500E+01 3.458E+00 
6.000E+01 4.037E+00 
6.500E+01 4.654E+00 
7.000E+01 5.309E+00 
7.500E+01 6.000E+00 
8.000E+01 6.727E+00 
8.500E+01 7.488E+00 
9.000E+01 8.284E+00 
9.500E+01 9.114E+00 
1.000E+02 9.976E+00 
1.250E+02 1.476E+01 
1.500E+02 2.026E+01 
1.750E+02 2.644E+01 
2.000E+02 3.322E+01 
2.250E+02 4.057E+01 
2.500E+02 4.843E+01 
2.750E+02 5.678E+01 
3.000E+02 6.556E+01 
3.500E+02 8.434E+01 
4.000E+02 1.046E+02 
4.500E+02 1.260E+02 
5.000E+02 1.485E+02 
5.500E+02 1.720E+02 
6.000E+02 1.964E+02 
6.500E+02 2.214E+02 
7.000E+02 2.472E+02 
7.500E+02 2.735E+02 
8.000E+02 3.003E+02 
8.500E+02 3.276E+02 
9.000E+02 3.553E+02 
9.500E+02 3.833E+02 
1.000E+03 4.117E+02 
1.500E+03 7.077E+02 
2.000E+03 1.014E+03 
2.500E+03 1.324E+03 
3.000E+03 1.633E+03 
4.000E+03 2.246E+03 
5.000E+03 2.850E+03 
6.000E+03 3.445E+03 
7.000E+03 4.032E+03 
8.000E+03 4.612E+03 
9.000E+03 5.186E+03 
1.000E+04 5.754E+03 
