PSTAR: Stopping Powers and Range Tables for Protons

SILICON                                                                 

Kinetic   Projected 
Energy    Range     
MeV       g/cm2     
0.0 0.0
1.000E-03 3.558E-06 
1.500E-03 5.242E-06 
2.000E-03 6.906E-06 
2.500E-03 8.532E-06 
3.000E-03 1.012E-05 
4.000E-03 1.319E-05 
5.000E-03 1.613E-05 
6.000E-03 1.895E-05 
7.000E-03 2.166E-05 
8.000E-03 2.427E-05 
9.000E-03 2.680E-05 
1.000E-02 2.924E-05 
1.250E-02 3.508E-05 
1.500E-02 4.065E-05 
1.750E-02 4.598E-05 
2.000E-02 5.113E-05 
2.250E-02 5.611E-05 
2.500E-02 6.097E-05 
2.750E-02 6.572E-05 
3.000E-02 7.037E-05 
3.500E-02 7.947E-05 
4.000E-02 8.836E-05 
4.500E-02 9.714E-05 
5.000E-02 1.058E-04 
5.500E-02 1.145E-04 
6.000E-02 1.232E-04 
6.500E-02 1.320E-04 
7.000E-02 1.408E-04 
7.500E-02 1.497E-04 
8.000E-02 1.588E-04 
8.500E-02 1.679E-04 
9.000E-02 1.772E-04 
9.500E-02 1.866E-04 
1.000E-01 1.962E-04 
1.250E-01 2.463E-04 
1.500E-01 3.004E-04 
1.750E-01 3.583E-04 
2.000E-01 4.198E-04 
2.250E-01 4.848E-04 
2.500E-01 5.529E-04 
2.750E-01 6.242E-04 
3.000E-01 6.984E-04 
3.500E-01 8.553E-04 
4.000E-01 1.023E-03 
4.500E-01 1.201E-03 
5.000E-01 1.389E-03 
5.500E-01 1.586E-03 
6.000E-01 1.792E-03 
6.500E-01 2.007E-03 
7.000E-01 2.231E-03 
7.500E-01 2.463E-03 
8.000E-01 2.705E-03 
8.500E-01 2.956E-03 
9.000E-01 3.217E-03 
9.500E-01 3.487E-03 
1.000E+00 3.765E-03 
1.250E+00 5.288E-03 
1.500E+00 7.020E-03 
1.750E+00 8.953E-03 
2.000E+00 1.108E-02 
2.250E+00 1.340E-02 
2.500E+00 1.590E-02 
2.750E+00 1.858E-02 
3.000E+00 2.144E-02 
3.500E+00 2.769E-02 
4.000E+00 3.461E-02 
4.500E+00 4.219E-02 
5.000E+00 5.041E-02 
5.500E+00 5.926E-02 
6.000E+00 6.873E-02 
6.500E+00 7.881E-02 
7.000E+00 8.949E-02 
7.500E+00 1.008E-01 
8.000E+00 1.126E-01 
8.500E+00 1.250E-01 
9.000E+00 1.380E-01 
9.500E+00 1.516E-01 
1.000E+01 1.657E-01 
1.250E+01 2.445E-01 
1.500E+01 3.365E-01 
1.750E+01 4.413E-01 
2.000E+01 5.585E-01 
2.500E+01 8.289E-01 
2.750E+01 9.815E-01 
3.000E+01 1.145E+00 
3.500E+01 1.507E+00 
4.000E+01 1.911E+00 
4.500E+01 2.356E+00 
5.000E+01 2.842E+00 
5.500E+01 3.367E+00 
6.000E+01 3.930E+00 
6.500E+01 4.531E+00 
7.000E+01 5.167E+00 
7.500E+01 5.840E+00 
8.000E+01 6.547E+00 
8.500E+01 7.288E+00 
9.000E+01 8.062E+00 
9.500E+01 8.868E+00 
1.000E+02 9.706E+00 
1.250E+02 1.435E+01 
1.500E+02 1.971E+01 
1.750E+02 2.571E+01 
2.000E+02 3.231E+01 
2.250E+02 3.945E+01 
2.500E+02 4.709E+01 
2.750E+02 5.520E+01 
3.000E+02 6.373E+01 
3.500E+02 8.198E+01 
4.000E+02 1.016E+02 
4.500E+02 1.225E+02 
5.000E+02 1.444E+02 
5.500E+02 1.672E+02 
6.000E+02 1.908E+02 
6.500E+02 2.152E+02 
7.000E+02 2.401E+02 
7.500E+02 2.657E+02 
8.000E+02 2.917E+02 
8.500E+02 3.182E+02 
9.000E+02 3.451E+02 
9.500E+02 3.724E+02 
1.000E+03 4.000E+02 
1.500E+03 6.873E+02 
2.000E+03 9.851E+02 
2.500E+03 1.286E+03 
3.000E+03 1.586E+03 
4.000E+03 2.181E+03 
5.000E+03 2.767E+03 
6.000E+03 3.344E+03 
7.000E+03 3.913E+03 
8.000E+03 4.474E+03 
9.000E+03 5.029E+03 
1.000E+04 5.578E+03 
